,Season,Name,Nationality,Type,Team,Price
615,2018,Zahir Khan Pakteen,Bowler,"60,00,000", Rajasthan Royals,
616,2018,Ben Laughlin,Bowler,"50,00,000", Rajasthan Royals,
617,2018,Stuart Binny,All-Rounder,"50,00,000", Rajasthan Royals,
618,2018,Dushmantha Chameera,Bowler,"50,00,000", Rajasthan Royals,
619,2018,Anureet Singh,Bowler,"30,00,000", Rajasthan Royals,
620,2018,Aryaman Vikram Birla,All-Rounder,"30,00,000", Rajasthan Royals,
621,2018,Midhun S,All-Rounder,"20,00,000", Rajasthan Royals,
622,2018,Shreyas Gopal,All-Rounder,"20,00,000", Rajasthan Royals,
623,2018,Prashant Chopra,Wicket Keeper,"20,00,000", Rajasthan Royals,
624,2018,Jatin Saxena,All-Rounder,"20,00,000", Rajasthan Royals,
625,2018,Ankit Sharma,All-Rounder,"20,00,000", Rajasthan Royals,
626,2018,Mahipal Lomror,All-Rounder,"20,00,000", Rajasthan Royals,
627,2018,Chris Woakes,All-Rounder,"7,40,00,000", Royal Challengers Bangalore,
628,2018,Yuzvendra Singh Chahal,Bowler,"6,00,00,000", Royal Challengers Bangalore,
629,2018,Umesh Yadav,Bowler,"4,20,00,000", Royal Challengers Bangalore,
630,2018,Brendon McCullum,Batsman,"3,60,00,000", Royal Challengers Bangalore,
631,2018,M.S. Washington Sundar,All-Rounder,"3,20,00,000", Royal Challengers Bangalore,
632,2018,Navdeep Saini,Bowler,"3,00,00,000", Royal Challengers Bangalore,
633,2018,Quinton De Kock,Wicket Keeper,"2,80,00,000", Royal Challengers Bangalore,
634,2018,Mohammed Siraj,Bowler,"2,60,00,000", Royal Challengers Bangalore,
635,2018,Nathan Coulter-Nile,Bowler,"2,20,00,000", Royal Challengers Bangalore,
636,2018,Colin De Grandhomme,All-Rounder,"2,20,00,000", Royal Challengers Bangalore,
637,2018,M. Ashwin,Bowler,"2,20,00,000", Royal Challengers Bangalore,
638,2018,Parthiv Patel,Wicket Keeper,"1,70,00,000", Royal Challengers Bangalore,
639,2018,Moeen Ali,All-Rounder,"1,70,00,000", Royal Challengers Bangalore,
640,2018,Mandeep Singh,All-Rounder,"1,40,00,000", Royal Challengers Bangalore,
641,2018,Manan Vohra,Batsman,"1,10,00,000", Royal Challengers Bangalore,
642,2018,Pawan Negi,All-Rounder,"1,00,00,000", Royal Challengers Bangalore,
643,2018,Tim Southee,Bowler,"1,00,00,000", Royal Challengers Bangalore,
644,2018,Kulwant Khejroliya,Bowler,"85,00,000", Royal Challengers Bangalore,
645,2018,Aniket Choudhary,Bowler,"30,00,000", Royal Challengers Bangalore,
646,2018,Pavan Deshpande,All-Rounder,"20,00,000", Royal Challengers Bangalore,
647,2018,Anirudha Ashok Joshi,All-Rounder,"20,00,000", Royal Challengers Bangalore,
648,2018,Manish Pandey,Batsman,"11,00,00,000", Sunrisers Hyderabad,
649,2018,Rashid Khan Arman,Bowler,"9,00,00,000", Sunrisers Hyderabad,
650,2018,Shikhar Dhawan,Batsman,"5,20,00,000", Sunrisers Hyderabad,
651,2018,Wriddhiman Saha,Wicket Keeper,"5,00,00,000", Sunrisers Hyderabad,
